Country,City,Capital,Population,Winter,Summer,Year,Latitude,Longitude
India,Meerut,0,1305429,0,0,0,28.916666999999997,77.68333299999999
India,Mumbai,0,12442373,0,0,0,18.9387711,72.8353355
India,Nagpur,0,2405665,0,0,0,21.1498134,79.0820556
India,Nashik,0,1486053,0,0,0,20.0112475,73.79023640000001
India,Navi Mumbai,0,1120547,0,0,0,19.0308262,73.0198537
India,Patna,0,1684297,0,0,0,25.609323899999996,85.1235252
India,Pimpri Chinchwad,0,1727692,0,0,0,18.6279288,73.80098290000001
India,Pune,0,3124458,0,0,0,18.521428,73.8544541
India,Raipur,0,1027264,0,0,0,21.237946899999997,81.6336833
India,Rajkot,0,1323363,0,0,0,22.3051991,70.80283349999999
India,Ranchi,0,1073427,0,0,0,23.3700354,85.3250132
India,Srinagar,0,1206419,0,0,0,34.07474439999999,74.82044429999999
India,Surat,0,4501610,0,0,0,21.186460699999998,72.80812809999999
India,Thane,0,1841488,0,0,0,19.1943294,72.97017790000001
India,Vadodara,0,1752371,0,0,0,22.2973142,73.1942567
India,Varanasi,0,1198491,0,0,0,25.3356491,83.0076292
India,Vasai,0,1222390,0,0,0,19.43988455,72.88038340007749
India,Vijayawada,0,1143232,0,0,0,16.5087586,80.6185102
India,Visakhapatnam,0,1728128,0,0,0,17.7231276,83.30128420000001
Indonesia,Bandar Lampung,0,1033601,0,0,0,-5.4460713,105.2643742
Indonesia,Bandung,0,2525220,0,0,0,-6.9344694,107.60495390000001
Indonesia,Batam,0,1347762,0,0,0,1.1061034,104.0378246
Indonesia,Bogor,0,5162044,0,0,0,-6.596298599999999,106.79724209999999
Indonesia,Cirebon,0,1891957,0,0,0,-6.713704400000001,108.5608483
Indonesia,Jakarta,1,10428001,0,0,0,-6.1753942,106.827183
Indonesia,Makasar,0,1502459,0,0,0,-6.26958695,106.88869732007156
Indonesia,Malang,0,1382786,0,0,0,-8.10479815,112.68798721390587
Indonesia,Medan,0,2269588,0,0,0,3.5896654000000003,98.6738261
Indonesia,Palembang,0,1649298,0,0,0,-2.9888297,104.756857
Indonesia,Sukabumi,0,1301873,0,0,0,-6.9199289,106.9265095
Indonesia,Surabaya,0,2885245,0,0,0,-7.2459717,112.73782659999998
Indonesia,Tangerang,0,3050758,0,0,0,-6.1734808,106.49920420000001
Iran,Ahwaz,0,1184788,0,0,0,31.3229936,48.6793316
Iran,Esfahan,0,1961260,0,0,0,32.6707877,51.6650002
Iran,Karaj,0,1592492,0,0,0,35.8228964,50.95876430889607
Iran,Mashhad,0,3001184,0,0,0,36.2974945,59.60592320000001
Iran,Qom,0,1201158,0,0,0,34.6423117,50.8800969
Iran,Shiraz,0,1565572,0,0,0,29.6060218,52.537804099999995
Iran,Tabriz,0,1558693,0,0,0,38.0739964,46.29619520000001
Iran,Tehran,1,8693706,0,0,0,35.7006177,51.4013785
Iraq,Al-Basrah,0,1225793,0,0,0,30.495236699999996,47.8090981
Iraq,Baghdad,1,1211934,0,0,0,33.3024309,44.3787992
Ireland,Dublin,1,544107,0,1,1936,53.3497645,-6.2602732
